School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,size
Massachusetts Institute of Technology (MIT),Engineering,72200.00 ,126000.00 ,76800.00 ,99200.00 ,168000.00 ,220000.00 ,2.00 
California Institute of Technology (CIT),Engineering,75500.00 ,123000.00 ,0,104000.00 ,161000.00 ,0,2.00 
Harvey Mudd College,Engineering,71800.00 ,122000.00 ,0,96000.00 ,180000.00 ,0,2.00 
"Polytechnic University of New York, Brooklyn",Engineering,62400.00 ,114000.00 ,66800.00 ,94300.00 ,143000.00 ,190000.00 ,2.00 
Cooper Union,Engineering,62200.00 ,114000.00 ,0,80200.00 ,142000.00 ,0,2.00 
Worcester Polytechnic Institute (WPI),Engineering,61000.00 ,114000.00 ,80000.00 ,91200.00 ,137000.00 ,180000.00 ,2.00 
Carnegie Mellon University (CMU),Engineering,61800.00 ,111000.00 ,63300.00 ,80100.00 ,150000.00 ,209000.00 ,2.00 
Rensselaer Polytechnic Institute (RPI),Engineering,61100.00 ,110000.00 ,71600.00 ,85500.00 ,140000.00 ,182000.00 ,2.00 
Georgia Institute of Technology,Engineering,58300.00 ,106000.00 ,67200.00 ,85200.00 ,137000.00 ,183000.00 ,2.00 
Colorado School of Mines,Engineering,58100.00 ,106000.00 ,62200.00 ,87900.00 ,142000.00 ,201000.00 ,2.00 
Stevens Institute of Technology,Engineering,60600.00 ,105000.00 ,68700.00 ,81900.00 ,138000.00 ,185000.00 ,2.00 
Illinois Institute of Technology (IIT),Engineering,56000.00 ,97800.00 ,56100.00 ,77400.00 ,121000.00 ,165000.00 ,2.00 
Wentworth Institute of Technology,Engineering,53000.00 ,96700.00 ,55200.00 ,74000.00 ,117000.00 ,153000.00 ,2.00 
Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,53500.00 ,95400.00 ,50600.00 ,71400.00 ,124000.00 ,163000.00 ,2.00 
South Dakota School of Mines & Technology,Engineering,55800.00 ,93400.00 ,71500.00 ,81900.00 ,122000.00 ,147000.00 ,2.00 
New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,51000.00 ,93400.00 ,0,67400.00 ,123000.00 ,0,2.00 
Rochester Institute of Technology (RIT),Engineering,48900.00 ,84600.00 ,45000.00 ,62100.00 ,112000.00 ,159000.00 ,2.00 
Embry-Riddle Aeronautical University (ERAU),Engineering,52700.00 ,80700.00 ,49800.00 ,64000.00 ,106000.00 ,142000.00 ,2.00 
Tennessee Technological University,Engineering,46200.00 ,80000.00 ,42100.00 ,62600.00 ,99500.00 ,121000.00 ,2.00 
University of Illinois at Urbana-Champaign (UIUC),Party,52900.00 ,96100.00 ,48200.00 ,68900.00 ,132000.00 ,177000.00 ,2.00 
"University of Maryland, College Park",Party,52000.00 ,95000.00 ,50400.00 ,68300.00 ,126000.00 ,166000.00 ,2.00 
"University of California, Santa Barbara (UCSB)",Party,50500.00 ,95000.00 ,51300.00 ,71200.00 ,129000.00 ,173000.00 ,2.00 
University of Texas (UT) - Austin,Party,49700.00 ,93900.00 ,50100.00 ,67400.00 ,129000.00 ,188000.00 ,2.00 
State University of New York (SUNY) at Albany,Party,44500.00 ,92200.00 ,47000.00 ,63100.00 ,135000.00 ,209000.00 ,2.00 
University of Florida (UF),Party,47100.00 ,87900.00 ,45400.00 ,62900.00 ,120000.00 ,172000.00 ,2.00 
Louisiana State University (LSU),Party,46900.00 ,87800.00 ,43700.00 ,61300.00 ,120000.00 ,165000.00 ,2.00 
University of Georgia (UGA),Party,44100.00 ,86000.00 ,43100.00 ,57800.00 ,118000.00 ,164000.00 ,2.00 
Pennsylvania State University (PSU),Party,49900.00 ,85700.00 ,46300.00 ,62000.00 ,117000.00 ,160000.00 ,2.00 
Arizona State University (ASU),Party,47400.00 ,84100.00 ,44600.00 ,60700.00 ,114000.00 ,163000.00 ,2.00 
"Indiana University (IU), Bloomington",Party,46300.00 ,84000.00 ,43600.00 ,60400.00 ,119000.00 ,178000.00 ,2.00 
University of Iowa (UI),Party,44700.00 ,83900.00 ,43300.00 ,61100.00 ,116000.00 ,163000.00 ,2.00 
Randolph-Macon College,Party,42600.00 ,83600.00 ,0,54100.00 ,123000.00 ,0,2.00 
"University of Alabama, Tuscaloosa",Party,41300.00 ,81400.00 ,40100.00 ,56500.00 ,117000.00 ,161000.00 ,2.00 
University of Mississippi,Party,41400.00 ,79700.00 ,40400.00 ,53500.00 ,108000.00 ,186000.00 ,2.00 
University of New Hampshire (UNH),Party,41800.00 ,78300.00 ,41700.00 ,56400.00 ,114000.00 ,147000.00 ,2.00 
West Virginia University (WVU),Party,43100.00 ,78100.00 ,39700.00 ,55700.00 ,106000.00 ,141000.00 ,2.00 
University of Tennessee,Party,43800.00 ,74600.00 ,41900.00 ,53200.00 ,106000.00 ,153000.00 ,2.00 
Ohio University,Party,42200.00 ,73400.00 ,36600.00 ,52800.00 ,106000.00 ,150000.00 ,2.00 
Florida State University (FSU),Party,42100.00 ,73000.00 ,39600.00 ,52800.00 ,107000.00 ,156000.00 ,2.00 
Bucknell University,Liberal Arts,54100.00 ,110000.00 ,62800.00 ,80600.00 ,156000.00 ,251000.00 ,2.00 
Colgate University,Liberal Arts,52800.00 ,108000.00 ,60000.00 ,76700.00 ,167000.00 ,265000.00 ,2.00 
Amherst College,Liberal Arts,54500.00 ,107000.00 ,0,84900.00 ,162000.00 ,0,2.00 
Lafayette College,Liberal Arts,53900.00 ,107000.00 ,70600.00 ,79300.00 ,144000.00 ,204000.00 ,2.00 
Bowdoin College,Liberal Arts,48100.00 ,107000.00 ,0,74600.00 ,146000.00 ,0,2.00 
College of the Holy Cross,Liberal Arts,50200.00 ,106000.00 ,0,65600.00 ,143000.00 ,0,2.00 
Occidental College,Liberal Arts,51900.00 ,105000.00 ,0,54800.00 ,157000.00 ,0,2.00 
Washington and Lee University,Liberal Arts,53600.00 ,104000.00 ,0,82800.00 ,146000.00 ,0,2.00 
Swarthmore College,Liberal Arts,49700.00 ,104000.00 ,0,67200.00 ,167000.00 ,0,2.00 
Davidson College,Liberal Arts,46100.00 ,104000.00 ,0,70500.00 ,146000.00 ,0,2.00 
Carleton College,Liberal Arts,47500.00 ,103000.00 ,0,69400.00 ,141000.00 ,0,2.00 
Williams College,Liberal Arts,51700.00 ,102000.00 ,0,76400.00 ,143000.00 ,0,2.00 
Pomona College,Liberal Arts,48600.00 ,101000.00 ,0,63300.00 ,161000.00 ,0,2.00 
"Wesleyan University (Middletown, Connecticut)",Liberal Arts,46500.00 ,97900.00 ,42000.00 ,62500.00 ,126000.00 ,215000.00 ,2.00 
Bates College,Liberal Arts,47300.00 ,96500.00 ,0,60700.00 ,162000.00 ,0,2.00 
Union College,Liberal Arts,47200.00 ,95800.00 ,48700.00 ,75200.00 ,135000.00 ,230000.00 ,2.00 
University of Richmond,Liberal Arts,48600.00 ,94600.00 ,44500.00 ,59400.00 ,151000.00 ,211000.00 ,2.00 
Vassar College,Liberal Arts,46000.00 ,94600.00 ,0,60600.00 ,123000.00 ,0,2.00 
Middlebury College,Liberal Arts,47700.00 ,94200.00 ,0,69100.00 ,129000.00 ,0,2.00 
Mount Holyoke College,Liberal Arts,42400.00 ,94100.00 ,0,57100.00 ,131000.00 ,0,2.00 
Franklin and Marshall College,Liberal Arts,49100.00 ,92800.00 ,0,55800.00 ,185000.00 ,0,2.00 
DePauw University,Liberal Arts,41400.00 ,88300.00 ,49500.00 ,57400.00 ,133000.00 ,185000.00 ,2.00 
St. Olaf College,Liberal Arts,45300.00 ,86200.00 ,41300.00 ,61000.00 ,120000.00 ,185000.00 ,2.00 
Colby College,Liberal Arts,46400.00 ,85800.00 ,0,63500.00 ,129000.00 ,0,2.00 
Gettysburg College,Liberal Arts,44700.00 ,85800.00 ,0,66300.00 ,132000.00 ,0,2.00 
Siena College,Liberal Arts,45500.00 ,85200.00 ,38700.00 ,58400.00 ,129000.00 ,189000.00 ,2.00 
Smith College,Liberal Arts,44000.00 ,83900.00 ,45100.00 ,59800.00 ,129000.00 ,184000.00 ,2.00 
Hamilton College,Liberal Arts,49200.00 ,83700.00 ,0,51900.00 ,123000.00 ,0,2.00 
Randolph-Macon College,Liberal Arts,42600.00 ,83600.00 ,0,54100.00 ,123000.00 ,0,2.00 
Wellesley College,Liberal Arts,42800.00 ,83500.00 ,0,58600.00 ,125000.00 ,0,2.00 
Denison University,Liberal Arts,42000.00 ,83500.00 ,0,62100.00 ,122000.00 ,0,2.00 
Oberlin College,Liberal Arts,43400.00 ,81600.00 ,0,46400.00 ,128000.00 ,0,2.00 
University of Puget Sound,Liberal Arts,46600.00 ,81500.00 ,48900.00 ,60100.00 ,104000.00 ,137000.00 ,2.00 
Colorado College (CC),Liberal Arts,38500.00 ,81400.00 ,0,43000.00 ,148000.00 ,0,2.00 
Reed College,Liberal Arts,40500.00 ,81100.00 ,0,67400.00 ,101000.00 ,0,2.00 
Gustavus Adolphus College,Liberal Arts,44500.00 ,80600.00 ,0,49300.00 ,101000.00 ,0,2.00 
Whitman College,Liberal Arts,43500.00 ,80100.00 ,0,64800.00 ,111000.00 ,0,2.00 
Ursinus College,Liberal Arts,42100.00 ,80000.00 ,35600.00 ,54300.00 ,100000.00 ,160000.00 ,2.00 
Juniata College,Liberal Arts,41800.00 ,78900.00 ,0,67200.00 ,110000.00 ,0,2.00 
Wittenberg University,Liberal Arts,39200.00 ,78200.00 ,0,54100.00 ,131000.00 ,0,2.00 
Grinnell College,Liberal Arts,42600.00 ,76600.00 ,0,65100.00 ,116000.00 ,0,2.00 
Skidmore College,Liberal Arts,41600.00 ,74600.00 ,0,42800.00 ,147000.00 ,0,2.00 
Moravian College,Liberal Arts,42500.00 ,74400.00 ,0,56700.00 ,94900.00 ,0,2.00 
Lewis & Clark College,Liberal Arts,38900.00 ,72600.00 ,38200.00 ,53400.00 ,104000.00 ,140000.00 ,2.00 
Fort Lewis College,Liberal Arts,42000.00 ,69800.00 ,0,55000.00 ,94000.00 ,0,2.00 
Thomas Aquinas College,Liberal Arts,41500.00 ,67500.00 ,0,44600.00 ,93100.00 ,0,2.00 
Evergreen State College,Liberal Arts,39500.00 ,63900.00 ,38800.00 ,47200.00 ,91600.00 ,120000.00 ,2.00 
Dartmouth College,Ivy League,58000.00 ,134000.00 ,63100.00 ,90200.00 ,234000.00 ,321000.00 ,2.00 
Princeton University,Ivy League,66500.00 ,131000.00 ,68900.00 ,100000.00 ,190000.00 ,261000.00 ,2.00 
Yale University,Ivy League,59100.00 ,126000.00 ,58000.00 ,80600.00 ,198000.00 ,326000.00 ,2.00 
Harvard University,Ivy League,63400.00 ,124000.00 ,54800.00 ,86200.00 ,179000.00 ,288000.00 ,2.00 
University of Pennsylvania,Ivy League,60900.00 ,120000.00 ,55900.00 ,79200.00 ,192000.00 ,282000.00 ,2.00 
Cornell University,Ivy League,60300.00 ,110000.00 ,56800.00 ,79800.00 ,160000.00 ,210000.00 ,2.00 
Brown University,Ivy League,56200.00 ,109000.00 ,55400.00 ,74400.00 ,159000.00 ,228000.00 ,2.00 
Columbia University,Ivy League,59400.00 ,107000.00 ,50300.00 ,71900.00 ,161000.00 ,241000.00 ,2.00 
"University of California, Berkeley",State,59900.00 ,112000.00 ,59500.00 ,81000.00 ,149000.00 ,201000.00 ,2.00 
University of Virginia (UVA),State,52700.00 ,103000.00 ,52200.00 ,71800.00 ,146000.00 ,215000.00 ,2.00 
Cal Poly San Luis Obispo,State,57200.00 ,101000.00 ,55000.00 ,74700.00 ,133000.00 ,178000.00 ,2.00 
University of California at Los Angeles (UCLA),State,52600.00 ,101000.00 ,51300.00 ,72500.00 ,139000.00 ,193000.00 ,2.00 
"University of California, San Diego (UCSD)",State,51100.00 ,101000.00 ,51700.00 ,75400.00 ,131000.00 ,177000.00 ,2.00 
"University of California, Davis",State,52300.00 ,99600.00 ,52000.00 ,71600.00 ,135000.00 ,202000.00 ,2.00 
University of Colorado - Boulder (UCB),State,47100.00 ,97600.00 ,51600.00 ,69000.00 ,128000.00 ,187000.00 ,2.00 
"University of California, Irvine (UCI)",State,48300.00 ,96700.00 ,47800.00 ,66000.00 ,123000.00 ,172000.00 ,2.00 
University of Illinois at Urbana-Champaign (UIUC),State,52900.00 ,96100.00 ,48200.00 ,68900.00 ,132000.00 ,177000.00 ,2.00 
Texas A&M University,State,49700.00 ,96100.00 ,51100.00 ,71300.00 ,131000.00 ,171000.00 ,2.00 
Binghamton University,State,53600.00 ,95900.00 ,50900.00 ,71200.00 ,146000.00 ,201000.00 ,2.00 
University of Missouri - Rolla (UMR),State,57100.00 ,95800.00 ,67600.00 ,80400.00 ,122000.00 ,166000.00 ,2.00 
San Jose State University (SJSU),State,53500.00 ,95600.00 ,50700.00 ,70500.00 ,122000.00 ,156000.00 ,2.00 
"University of Maryland, College Park",State,52000.00 ,95000.00 ,50400.00 ,68300.00 ,126000.00 ,166000.00 ,2.00 
"University of California, Santa Barbara (UCSB)",State,50500.00 ,95000.00 ,51300.00 ,71200.00 ,129000.00 ,173000.00 ,2.00 
University of Texas (UT) - Austin,State,49700.00 ,93900.00 ,50100.00 ,67400.00 ,129000.00 ,188000.00 ,2.00 
University of Michigan,State,52700.00 ,93000.00 ,50900.00 ,69400.00 ,128000.00 ,182000.00 ,2.00 
Stony Brook University,State,49500.00 ,93000.00 ,47200.00 ,67100.00 ,129000.00 ,181000.00 ,2.00 
State University of New York (SUNY) at Albany,State,44500.00 ,92200.00 ,47000.00 ,63100.00 ,135000.00 ,209000.00 ,2.00 
Rutgers University,State,50300.00 ,91800.00 ,48100.00 ,65100.00 ,128000.00 ,176000.00 ,2.00 
Purdue University,State,51400.00 ,90500.00 ,49900.00 ,67400.00 ,121000.00 ,168000.00 ,2.00 
University of Connecticut (UConn),State,48000.00 ,88800.00 ,46100.00 ,66400.00 ,120000.00 ,162000.00 ,2.00 
University of Massachusetts (UMass) - Amherst,State,46600.00 ,88200.00 ,43100.00 ,61300.00 ,122000.00 ,168000.00 ,2.00 
"California State University (CSU), Chico",State,47400.00 ,88100.00 ,46800.00 ,62800.00 ,122000.00 ,154000.00 ,2.00 
University of Florida (UF),State,47100.00 ,87900.00 ,45400.00 ,62900.00 ,120000.00 ,172000.00 ,2.00 
University of Wisconsin (UW) - Madison,State,48900.00 ,87800.00 ,47400.00 ,62400.00 ,118000.00 ,170000.00 ,2.00 
Louisiana State University (LSU),State,46900.00 ,87800.00 ,43700.00 ,61300.00 ,120000.00 ,165000.00 ,2.00 
"California State University, Fullerton (CSUF)",State,45700.00 ,87000.00 ,45400.00 ,62500.00 ,119000.00 ,158000.00 ,2.00 
George Mason University,State,47800.00 ,86900.00 ,51300.00 ,67200.00 ,114000.00 ,150000.00 ,2.00 
University of Massachusetts (UMass) - Lowell,State,45400.00 ,86600.00 ,50900.00 ,65000.00 ,113000.00 ,158000.00 ,2.00 
San Francisco State University (SFSU),State,47300.00 ,86400.00 ,45100.00 ,62700.00 ,114000.00 ,150000.00 ,2.00 
University of Arizona,State,47500.00 ,86100.00 ,44800.00 ,61700.00 ,117000.00 ,160000.00 ,2.00 
Clemson University,State,48400.00 ,86000.00 ,50500.00 ,61800.00 ,111000.00 ,150000.00 ,2.00 
University of Georgia (UGA),State,44100.00 ,86000.00 ,43100.00 ,57800.00 ,118000.00 ,164000.00 ,2.00 
Pennsylvania State University (PSU),State,49900.00 ,85700.00 ,46300.00 ,62000.00 ,117000.00 ,160000.00 ,2.00 
University of Washington (UW),State,48800.00 ,85300.00 ,47000.00 ,59800.00 ,115000.00 ,149000.00 ,2.00 
Michigan State University (MSU),State,46300.00 ,85300.00 ,44200.00 ,61500.00 ,119000.00 ,170000.00 ,2.00 
University of Rhode Island (URI),State,43900.00 ,85300.00 ,45400.00 ,60100.00 ,112000.00 ,157000.00 ,2.00 
San Diego State University (SDSU),State,46200.00 ,85200.00 ,45500.00 ,61800.00 ,116000.00 ,158000.00 ,2.00 
Auburn University,State,45400.00 ,84700.00 ,45400.00 ,62700.00 ,109000.00 ,145000.00 ,2.00 
Washington State University (WSU),State,45300.00 ,84700.00 ,43600.00 ,59000.00 ,113000.00 ,162000.00 ,2.00 
"California State University, Long Beach (CSULB)",State,45100.00 ,84700.00 ,47400.00 ,62500.00 ,113000.00 ,154000.00 ,2.00 
Iowa State University,State,45400.00 ,84600.00 ,44400.00 ,60000.00 ,109000.00 ,147000.00 ,2.00 
